No,Kode/Nama Perusahaan,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
325,IPTV,MNC Vision Networks Tbk.,2019-07-08,38.306.264.044,Utama
326,IRRA,Itama Ranoraya Tbk.,2019-10-15,1.600.000.000,Pengembangan
327,ISAT,Indosat Tbk.,1994-10-19,5.433.933.500,Utama
328,ISSP,Steel Pipe Industry of Indones,2013-02-22,7.185.992.035,Utama
329,ITIC,Indonesian Tobacco Tbk.,2019-07-04,940.720.000,Pengembangan
330,ITMA,Sumber Energi Andalan Tbk.,1990-12-10,870.701.000,Pengembangan
331,ITMG,Indo Tambangraya Megah Tbk.,2007-12-18,1.129.925.000,Utama
332,JAST,Jasnita Telekomindo Tbk.,2019-05-16,813.626.700,Pengembangan
333,JAWA,Jaya Agra Wattie Tbk.,2011-05-30,3.774.685.500,Utama
334,JAYA,Armada Berjaya Trans Tbk.,2019-02-21,375.000.105,Pengembangan
335,JECC,Jembo Cable Company Tbk.,1992-11-18,151.200.000,Pengembangan
336,JGLE,Graha Andrasentra Propertindo ,2016-06-29,22.581.909.405,Pengembangan
337,JIHD,Jakarta International Hotels &,1984-02-29,2.329.040.482,Pengembangan
338,JKON,Jaya Konstruksi Manggala Prata,2007-12-04,16.308.519.860,Utama
339,JKSW,Jakarta Kyoei Steel Works Tbk.,1997-08-06,150.000.000,Pengembangan
340,JMAS,Asuransi Jiwa Syariah Jasa Mit,2017-12-18,1.000.000.000,Pengembangan
341,JPFA,Japfa Comfeed Indonesia Tbk.,1989-10-23,11.726.575.201,Utama
342,JRPT,Jaya Real Property Tbk.,1994-06-29,13.750.000.000,Utama
343,JSKY,Sky Energy Indonesia Tbk.,2018-03-28,2.032.540.000,Utama
344,JSMR,Jasa Marga (Persero) Tbk.,2007-11-12,7.257.871.200,Utama
345,JSPT,Jakarta Setiabudi Internasiona,1998-01-12,2.318.736.000,Pengembangan
346,JTPE,Jasuindo Tiga Perkasa Tbk.,2002-04-16,1.713.012.500,Pengembangan
347,KAEF,Kimia Farma Tbk.,2001-07-04,5.554.000.000,Utama
348,KARW,ICTSI Jasa Prima Tbk.,1994-12-20,587.152.700,Pengembangan
349,KAYU,Darmi Bersaudara Tbk.,2019-07-04,665.000.000,Pengembangan
350,KBAG,Karya Bersama Anugerah Tbk.,2020-04-08,7.150.000.000,Pengembangan
351,KBLI,KMI Wire & Cable Tbk.,1992-07-06,4.007.235.107,Utama
352,KBLM,Kabelindo Murni Tbk.,1992-06-01,1.120.000.000,Pengembangan
353,KBLV,First Media Tbk.,2000-02-25,1.742.167.907,Pengembangan
354,KBRI,Kertas Basuki Rachmat Indonesi,2008-07-11,8.687.995.734,PENGEMBANGAN
355,KDSI,Kedawung Setia Industrial Tbk.,1996-07-29,405.000.000,Pengembangan
356,KEEN,Kencana Energi Lestari Tbk.,2019-09-02,3.666.312.500,Utama
357,KEJU,Mulia Boga Raya Tbk.,2019-11-25,1.500.000.000,Pengembangan
358,KIAS,Keramika Indonesia Assosiasi T,1994-12-08,14.929.100.000,Pengembangan
359,KICI,Kedaung Indah Can Tbk,1993-10-28,276.000.000,Utama
360,KIJA,Kawasan Industri Jababeka Tbk.,1995-01-10,20.824.888.369,Utama
361,KINO,Kino Indonesia Tbk.,2015-12-11,1.428.571.500,Utama
362,KIOS,Kioson Komersial Indonesia Tbk,2017-10-05,717.239.900,Pengembangan
363,KJEN,Krida Jaringan Nusantara Tbk.,2019-07-01,500.000.000,Pengembangan
364,KKGI,Resource Alam Indonesia Tbk.,1991-07-01,5.000.000.000,Utama
365,KLBF,Kalbe Farma Tbk.,1991-07-30,46.875.122.110,Utama
366,KMTR,Kirana Megatara Tbk.,2017-06-19,8.215.366.379,Pengembangan
367,KOBX,Kobexindo Tractors Tbk.,2012-07-05,2.272.500.000,Utama
368,KOIN,Kokoh Inti Arebama Tbk,2008-04-09,980.843.732,Pengembangan
369,KONI,Perdana Bangun Pusaka Tbk,1995-08-22,174.000.000,Pengembangan
370,KOPI,Mitra Energi Persada Tbk.,2001-04-23,697.266.668,Pengembangan
371,KOTA,DMS Propertindo Tbk.,2019-07-09,10.543.558.902,Utama
372,KPAL,Steadfast Marine Tbk.,2018-06-08,1.069.009.400,Utama
373,KPAS,Cottonindo Ariesta Tbk.,2018-10-05,768.042.882,Pengembangan
374,KPIG,MNC Land Tbk.,2000-03-30,80.625.726.664,Pengembangan
375,KRAH,Grand Kartech Tbk.,2013-11-08,971.190.000,Pengembangan
376,KRAS,Krakatau Steel (Persero) Tbk.,2010-11-10,19.346.396.900,Utama
377,KREN,Kresna Graha Investama Tbk.,2002-06-28,18.208.470.100,Utama
378,LAND,Trimitra Propertindo Tbk.,2018-08-23,2.792.620.000,Pengembangan
379,LAPD,Leyand International Tbk.,2001-07-17,3.966.350.139,Pengembangan
380,LCGP,Eureka Prima Jakarta Tbk.,2007-07-13,5.630.000.914,Pengembangan
381,LCKM,LCK Global Kedaton Tbk.,2018-01-16,1.000.000.000,Pengembangan
382,LEAD,Logindo Samudramakmur Tbk.,2013-12-11,4.049.616.328,Utama
383,LIFE,Asuransi Jiwa Sinarmas MSIG Tb,2019-07-09,2.100.000.000,Utama
384,LINK,Link Net Tbk.,2014-06-02,2.863.195.484,Utama
385,LION,Lion Metal Works Tbk.,1993-08-20,520.160.000,Utama
386,LMAS,Limas Indonesia Makmur Tbk,2001-12-28,787.851.525,Pengembangan
387,LMPI,Langgeng Makmur Industri Tbk.,1994-10-17,1.008.517.669,Pengembangan
388,LMSH,Lionmesh Prima Tbk.,1990-06-04,96.000.000,Pengembangan
389,LPCK,Lippo Cikarang Tbk,1997-07-24,2.679.600.000,Utama
390,LPGI,Lippo General Insurance Tbk.,1997-07-22,150.000.000,Utama
391,LPIN,Multi Prima Sejahtera Tbk,1990-02-05,425.000.000,Pengembangan
392,LPKR,Lippo Karawaci Tbk.,1996-06-28,70.898.018.369,Utama
393,LPLI,Star Pacific Tbk,1989-10-23,1.170.432.803,Pengembangan
394,LPPF,Matahari Department Store Tbk.,1989-10-10,2.626.148.780,Utama
395,LPPS,Lippo Securities Tbk.,1994-03-28,2.588.250.000,Pengembangan
396,LRNA,Eka Sari Lorena Transport Tbk.,2014-04-15,350.000.022,Pengembangan
397,LSIP,PP London Sumatra Indonesia Tb,1996-07-05,6.822.863.965,Utama
398,LTLS,Lautan Luas Tbk.,1997-07-21,1.560.000.000,Utama
399,LUCK,Sentral Mitra Informatika Tbk.,2018-11-28,715.749.640,Pengembangan
400,MABA,Marga Abhinaya Abadi Tbk.,2017-06-22,15.365.229.912,PENGEMBANGAN
401,MAGP,Multi Agro Gemilang Plantation,2013-01-16,9.000.000.004,Pengembangan
402,MAIN,Malindo Feedmill Tbk.,2006-02-10,2.238.750.000,Utama
403,MAMI,Mas Murni Indonesia Tbk,1994-02-09,12.299.116.371,Utama
404,MAPA,Map Aktif Adiperkasa Tbk.,2018-07-05,2.850.400.000,Pengembangan
405,MAPB,MAP Boga Adiperkasa Tbk.,2017-06-21,2.170.922.900,Pengembangan
406,MAPI,Mitra Adiperkasa Tbk.,2004-11-10,16.600.000.000,Utama
407,MARI,Mahaka Radio Integra Tbk.,2016-02-11,5.252.644.000,Pengembangan
408,MARK,Mark Dynamics Indonesia Tbk.,2017-07-12,3.800.000.310,Utama
409,MASA,Multistrada Arah Sarana Tbk.,2005-06-09,9.182.946.945,Utama
410,MAYA,Bank Mayapada Internasional Tb,1997-08-29,6.764.086.593,Utama
411,MBAP,Mitrabara Adiperdana Tbk.,2014-07-10,1.227.271.952,Pengembangan
412,MBSS,Mitrabahtera Segara Sejati Tbk,2011-04-06,1.750.026.639,Utama
413,MBTO,Martina Berto Tbk.,2011-01-13,1.070.000.000,Utama
414,MCAS,M Cash Integrasi Tbk.,2017-11-01,867.933.300,Pengembangan
415,MCOR,Bank China Construction Bank I,2007-07-03,37.540.533.209,Utama
416,MDIA,Intermedia Capital Tbk.,2014-04-11,39.215.538.400,Utama
417,MDKA,Merdeka Copper Gold Tbk.,2015-06-19,21.897.591.650,Pengembangan
418,MDKI,Emdeki Utama Tbk.,2017-09-25,2.530.150.002,Pengembangan
419,MDLN,Modernland Realty Tbk.,1993-01-18,12.533.067.322,Utama
420,MDRN,Modern Internasional Tbk.,1991-07-16,7.632.167.798,Utama
421,MEDC,Medco Energi Internasional Tbk,1994-10-12,17.920.454.572,Utama
422,MEGA,Bank Mega Tbk.,2000-04-17,6.894.138.227,Utama
423,MERK,Merck Tbk.,1981-07-23,448.000.000,Pengembangan
424,META,Nusantara Infrastructure Tbk.,2001-07-18,17.710.708.194,Utama
425,MFIN,Mandala Multifinance Tbk.,2005-09-06,2.650.000.000,Pengembangan
426,MFMI,Multifiling Mitra Indonesia Tb,2010-12-29,757.581.000,Pengembangan
427,MGNA,Magna Investama Mandiri Tbk.,2014-07-07,1.003.080.977,Pengembangan
428,MGRO,Mahkota Group Tbk.,2018-07-12,3.554.445.700,Utama
429,MICE,Multi Indocitra Tbk.,2005-12-21,600.000.000,Pengembangan
430,MIDI,Midi Utama Indonesia Tbk.,2010-11-30,2.882.353.000,Pengembangan
431,MIKA,Mitra Keluarga Karyasehat Tbk.,2015-03-24,14.246.349.500,Utama
432,MINA,Sanurhasta Mitra Tbk.,2017-04-28,6.562.500.000,Pengembangan
433,MIRA,Mitra International Resources ,1997-01-30,3.961.452.039,Pengembangan
434,MITI,Mitra Investindo Tbk.,1997-07-16,1.411.550.800,Pengembangan
435,MKNT,Mitra Komunikasi Nusantara Tbk,2015-10-26,5.000.000.000,Pengembangan
436,MKPI,Metropolitan Kentjana Tbk.,2009-07-10,948.194.000,Pengembangan
437,MLBI,Multi Bintang Indonesia Tbk.,1981-12-15,2.107.000.000,Utama
438,MLIA,Mulia Industrindo Tbk,1994-01-17,1.323.000.000,Pengembangan
439,MLPL,Multipolar Tbk.,1989-11-06,14.639.632.470,Utama
440,MLPT,Multipolar Technology Tbk.,2013-07-08,1.875.000.000,Utama
441,MMLP,Mega Manunggal Property Tbk.,2015-06-12,6.889.134.608,Pengembangan
442,MNCN,Media Nusantara Citra Tbk.,2007-06-22,14.876.103.500,Utama
443,MOLI,Madusari Murni Indah Tbk.,2018-08-30,2.334.888.498,Pengembangan
444,MPMX,Mitra Pinasthika Mustika Tbk.,2013-05-29,4.462.963.276,Utama
445,MPOW,Megapower Makmur Tbk.,2017-07-06,816.997.053,Pengembangan
446,MPPA,Matahari Putra Prima Tbk.,1992-12-21,7.529.147.920,Utama
447,MPRO,Maha Properti Indonesia Tbk.,2018-10-09,9.942.500.000,Pengembangan
448,MRAT,Mustika Ratu Tbk.,1995-07-27,428.000.000,Utama
449,MREI,Maskapai Reasuransi Indonesia ,1989-09-04,517.791.681,Pengembangan
450,MSIN,MNC Studios International Tbk.,2018-06-08,5.202.000.000,Utama
451,MSKY,MNC Sky Vision Tbk.,2012-07-09,1.994.370.480,Utama
452,MTDL,Metrodata Electronics Tbk.,1990-04-09,2.455.376.917,Utama
453,MTFN,Capitalinc Investment Tbk.,1990-04-16,31.842.082.852,Pengembangan
454,MTLA,Metropolitan Land Tbk.,2011-06-20,7.655.126.330,Utama
455,MTPS,Meta Epsi Tbk.,2019-04-10,2.084.850.829,Pengembangan
456,MTRA,Mitra Pemuda Tbk.,2016-02-10,770.000.000,Pengembangan
457,MTSM,Metro Realty Tbk.,1992-01-08,232.848.000,Pengembangan
458,MTWI,Malacca Trust Wuwungan Insuran,2017-10-11,1.525.819.116,Pengembangan
459,MYOH,Samindo Resources Tbk.,2000-07-27,2.206.312.500,Utama
460,MYOR,Mayora Indah Tbk.,1990-07-04,22.358.699.725,Utama
461,MYRX,Hanson International Tbk.,1990-10-31,86.703.220.792,Pengembangan
462,MYTX,Asia Pacific Investama Tbk.,1989-10-10,7.747.281.949,Utama
463,NASA,Ayana Land International Tbk.,2017-08-07,11.004.929.322,Pengembangan
464,NATO,Nusantara Properti Internasion,2019-01-18,8.001.089.504,Pengembangan
465,NELY,Pelayaran Nelly Dwi Putri Tbk.,2012-10-11,2.350.000.000,Pengembangan
466,NFCX,NFC Indonesia Tbk.,2018-07-12,666.667.500,Pengembangan
467,NICK,Charnic Capital Tbk.,2018-05-02,651.150.000,Pengembangan
468,NIKL,Pelat Timah Nusantara Tbk.,2009-12-14,2.523.350.000,Utama
469,NIPS,Nipress Tbk.,1991-07-24,1.635.333.332,Pengembangan
470,NIRO,City Retail Developments Tbk.,2012-09-13,22.198.871.804,Pengembangan
471,NISP,Bank OCBC NISP Tbk.,1994-10-20,22.715.776.032,Utama
472,NOBU,Bank Nationalnobu Tbk.,2013-05-20,4.393.533.177,Utama
473,NRCA,Nusa Raya Cipta Tbk.,2013-06-27,2.496.258.344,Utama
474,NUSA,Sinergi Megah Internusa Tbk.,2018-07-12,7.700.000.148,Pengembangan
475,NZIA,Nusantara Almazia Tbk.,2019-09-25,2.197.538.000,Utama
476,OASA,Protech Mitra Perkasa Tbk.,2016-07-18,358.600.000,Pengembangan
477,OCAP,Onix Capital Tbk.,2003-11-10,273.200.000,Pengembangan
478,OKAS,Ancora Indonesia Resources Tbk,2006-04-17,1.765.927.777,Pengembangan
479,OMRE,Indonesia Prima Property Tbk,1994-08-22,1.745.000.000,Pengembangan
480,OPMS,Optima Prima Metal Sinergi Tbk,2019-09-23,1.000.000.000,Pengembangan
481,PADI,Minna Padi Investama Sekuritas,2012-01-09,11.307.246.524,Utama
482,PALM,Provident Agro Tbk.,2012-10-08,7.119.540.356,Pengembangan
483,PAMG,Bima Sakti Pertiwi Tbk.,2019-07-05,3.125.000.000,Utama
484,PANI,Pratama Abadi Nusa Industri Tb,2018-09-18,410.000.000,Pengembangan
485,PANR,Panorama Sentrawisata Tbk.,2001-09-18,1.200.000.000,Utama
486,PANS,Panin Sekuritas Tbk.,2000-05-31,720.000.000,Utama
487,PBID,Panca Budi Idaman Tbk.,2017-12-13,1.875.000.000,Utama
488,PBRX,Pan Brothers Tbk.,1990-08-16,6.478.295.611,Utama
489,PBSA,Paramita Bangun Sarana Tbk.,2016-09-28,1.500.000.000,Utama
490,PCAR,Prima Cakrawala Abadi Tbk.,2017-12-29,1.166.666.700,Pengembangan
491,PDES,Destinasi Tirta Nusantara Tbk,2008-07-08,715.000.000,Pengembangan
492,PEGE,Panca Global Kapital Tbk.,2005-06-24,2.833.417.056,Pengembangan
493,PEHA,Phapros Tbk.,1911-01-01,840.000.000,Utama
494,PGAS,Perusahaan Gas Negara Tbk.,2003-12-15,24.241.508.196,Utama
495,PGJO,Tourindo Guide Indonesia Tbk.,2020-01-08,306.250.000,Akselerasi
496,PGLI,Pembangunan Graha Lestari Inda,2000-05-11,488.000.000,Pengembangan
497,PGUN,Pradiksi Gunatama Tbk.,2020-07-07,4.998.360.000,Utama
498,PICO,Pelangi Indah Canindo Tbk,1996-09-23,568.375.000,Pengembangan
499,PJAA,Pembangunan Jaya Ancol Tbk.,2004-07-02,1.599.999.996,Utama
500,PKPK,Perdana Karya Perkasa Tbk,2007-07-11,600.000.000,Pengembangan
501,PLAS,Polaris Investama Tbk,2001-03-16,1.184.200.000,Pengembangan
502,PLIN,Plaza Indonesia Realty Tbk.,1992-06-15,3.550.000.000,Utama
503,PMJS,Putra Mandiri Jembar Tbk.,2019-12-18,13.755.600.000,Pengembangan
504,PNBN,Bank Pan Indonesia Tbk,1982-12-29,23.837.645.998,Utama
505,PNBS,Bank Panin Dubai Syariah Tbk.,2014-01-15,23.719.447.472,Utama
506,PNIN,Paninvest Tbk.,1983-09-20,4.068.323.920,Utama
507,PNLF,Panin Financial Tbk.,1983-06-14,32.022.073.293,Utama
508,PNSE,Pudjiadi & Sons Tbk.,1990-05-01,797.813.496,Pengembangan
509,POLA,Pool Advista Finance Tbk.,2018-11-16,2.727.886.300,Pengembangan
510,POLI,Pollux Investasi Internasional,2019-01-10,2.010.526.400,Pengembangan
511,POLL,Pollux Properti Indonesia Tbk.,2018-07-11,8.318.823.600,Utama
512,POLU,Golden Flower Tbk.,2019-06-26,750.000.000,Pengembangan
513,POLY,Asia Pacific Fibers Tbk,1991-03-12,2.495.753.334,Pengembangan
514,POOL,Pool Advista Indonesia Tbk.,1991-05-20,2.341.366.264,Pengembangan
515,PORT,Nusantara Pelabuhan Handal Tbk,2017-03-16,2.813.941.985,Pengembangan
516,POSA,Bliss Properti Indonesia Tbk.,2019-05-10,8.388.870.106,Pengembangan
517,POWR,Cikarang Listrindo Tbk.,2016-06-14,16.087.156.000,Pengembangan
518,PPGL,Prima Globalindo Logistik Tbk.,2020-07-20,750.000.000,Akselerasi
519,PPRE,PP Presisi Tbk.,2017-11-24,10.224.271.000,Utama
520,PPRO,PP Properti Tbk.,2015-05-19,61.675.671.883,Utama
521,PRAS,Prima Alloy Steel Universal Tb,1990-07-12,701.043.478,Utama
522,PRDA,Prodia Widyahusada Tbk.,2016-12-07,937.500.000,Utama
523,PRIM,Royal Prima Tbk.,2018-05-15,3.393.432.705,Pengembangan
524,PSAB,J Resources Asia Pasifik Tbk.,2003-04-22,26.460.000.000,Pengembangan
525,PSDN,Prasidha Aneka Niaga Tbk,1994-10-18,1.440.000.000,Pengembangan
526,PSGO,Palma Serasih Tbk.,2019-11-25,18.850.000.000,Pengembangan
527,PSKT,Red Planet Indonesia Tbk.,1995-09-29,10.351.231.636,Pengembangan
528,PSSI,Pelita Samudera Shipping Tbk.,2017-12-05,5.417.063.153,Utama
529,PTBA,Bukit Asam Tbk.,2002-12-23,11.520.659.250,Utama
530,PTIS,Indo Straits Tbk.,2011-07-12,550.165.300,Utama
531,PTPP,PP (Persero) Tbk.,2010-02-09,6.199.897.354,Utama
532,PTPW,Pratama Widya Tbk.,2020-02-07,878.187.500,Pengembangan
533,PTRO,Petrosea Tbk.,1990-05-21,1.008.605.000,Utama
534,PTSN,Sat Nusapersada Tbk,2007-11-08,5.314.344.000,Utama
535,PTSP,Pioneerindo Gourmet Internatio,1994-05-30,220.808.000,Pengembangan
536,PUDP,Pudjiadi Prestige Tbk.,1994-11-18,329.560.000,Utama
537,PURA,Putra Rajawali Kencana Tbk.,2020-01-29,5.317.204.353,Pengembangan
538,PURE,Trinitan Metals and Minerals T,2019-10-09,1.333.333.500,Utama
539,PWON,Pakuwon Jati Tbk.,1989-10-09,48.159.602.400,Utama
540,PYFA,Pyridam Farma Tbk,2001-10-16,535.080.000,Pengembangan
541,PZZA,Sarimelati Kencana Tbk.,2018-05-23,3.021.875.000,Utama
542,RAJA,Rukun Raharja Tbk.,2006-04-19,4.227.082.500,Utama
543,RALS,Ramayana Lestari Sentosa Tbk.,1996-07-24,7.096.000.000,Utama
544,RANC,Supra Boga Lestari Tbk.,2012-06-07,1.564.487.500,Utama
545,RBMS,Ristia Bintang Mahkotasejati T,1997-12-19,2.656.212.826,Utama
546,RDTX,Roda Vivatex Tbk,1990-05-14,268.800.000,Utama
547,REAL,Repower Asia Indonesia Tbk.,2019-12-06,6.632.640.000,Pengembangan
548,RELI,Reliance Sekuritas Indonesia T,2005-07-13,1.800.000.000,Utama
549,RICY,Ricky Putra Globalindo Tbk,1998-01-22,641.717.510,Utama
550,RIGS,Rig Tenders Indonesia Tbk.,1990-03-05,609.130.000,Pengembangan
551,RIMO,Rimo International Lestari Tbk,2000-11-10,45.080.600.000,Pengembangan
552,RISE,Jaya Sukses Makmur Sentosa Tbk,2018-07-09,9.950.000.000,Utama
553,RMBA,Bentoel Internasional Investam,1990-03-05,36.401.136.250,Utama
554,RODA,Pikko Land Development Tbk.,2001-10-22,13.592.128.209,Pengembangan
555,RONY,Aesler Grup Internasional Tbk.,2020-04-09,1.250.000.000,Pengembangan
556,ROTI,Nippon Indosari Corpindo Tbk.,2010-06-28,6.186.488.888,Utama
557,RUIS,Radiant Utama Interinsco Tbk.,2006-07-12,770.000.000,Pengembangan
558,SAFE,Steady Safe Tbk,1994-08-15,615.145.012,Pengembangan
559,SAME,Sarana Meditama Metropolitan T,2013-01-11,5.900.000.000,Pengembangan
560,SAMF,Saraswanti Anugerah Makmur Tbk,2020-03-31,5.125.000.000,Utama
561,SAPX,Satria Antaran Prima Tbk.,2018-10-03,833.333.300,Pengembangan
562,SATU,Kota Satu Properti Tbk.,2018-11-05,1.250.000.000,Pengembangan
563,SBAT,Sejahtera Bintang Abadi Textil,2020-04-08,2.125.000.000,Pengembangan
564,SCCO,Supreme Cable Manufacturing & ,1982-07-20,205.583.400,Utama
565,SCMA,Surya Citra Media Tbk.,2002-07-16,14.774.672.301,Utama
566,SCPI,Merck Sharp Dohme Pharma Tbk.,1990-06-08,3.600.000,Pengembangan
567,SDMU,Sidomulyo Selaras Tbk.,2011-07-12,1.135.225.000,Pengembangan
568,SDPC,Millennium Pharmacon Internati,1990-05-07,1.274.000.000,Utama
569,SDRA,Bank Woori Saudara Indonesia 1,2006-12-15,6.515.116.991,Utama
570,SFAN,Surya Fajar Capital Tbk.,2019-06-19,1.359.934.021,Pengembangan
571,SGER,Sumber Global Energy Tbk.,2020-08-10,1.664.000.000,Pengembangan
572,SGRO,Sampoerna Agro Tbk.,2007-06-18,1.890.000.000,Utama
573,SHID,Hotel Sahid Jaya International,1990-05-08,1.119.326.168,Pengembangan
574,SHIP,Sillo Maritime Perdana Tbk.,2016-06-16,2.719.790.000,Pengembangan
575,SIDO,Industri Jamu dan Farmasi Sido,2013-12-18,15.000.000.000,Utama
576,SILO,Siloam International Hospitals,2013-09-12,1.625.765.625,Utama
577,SIMA,Siwani Makmur Tbk,1994-06-03,442.589.871,PENGEMBANGAN
578,SIMP,Salim Ivomas Pratama Tbk.,2011-06-09,15.816.310.000,Utama
579,SINI,Singaraja Putra Tbk.,2019-11-08,451.747.250,Pengembangan
580,SIPD,Sierad Produce Tbk.,1996-12-27,1.339.102.579,Pengembangan
581,SKBM,Sekar Bumi Tbk.,1993-01-05,1.726.003.217,Pengembangan
582,SKLT,Sekar Laut Tbk.,1993-09-08,690.740.500,Pengembangan
583,SKRN,Superkrane Mitra Utama Tbk.,2018-10-11,1.500.000.000,Pengembangan
584,SKYB,Northcliff Citranusa Indonesia,2010-07-07,585.000.000,Pengembangan
585,SLIS,Gaya Abadi Sempurna Tbk.,2019-10-07,2.000.000.000,Pengembangan
586,SMAR,Smart Tbk.,1992-11-20,2.872.193.366,Pengembangan
587,SMBR,Semen Baturaja (Persero) Tbk.,2013-06-28,9.932.534.336,Utama
588,SMCB,Solusi Bangun Indonesia Tbk.,1977-08-10,7.662.900.000,Utama
589,SMDM,Suryamas Dutamakmur Tbk.,1995-10-12,4.772.138.237,Pengembangan
590,SMDR,Samudera Indonesia  Tbk.,1999-12-05,3.275.120.000,Utama
591,SMGR,Semen Indonesia (Persero) Tbk.,1991-07-08,5.931.520.000,Utama
592,SMKL,Satyamitra Kemas Lestari Tbk.,2019-07-11,3.400.000.005,Utama
593,SMMA,Sinarmas Multiartha Tbk.,1995-07-05,6.367.664.717,Utama
594,SMMT,Golden Eagle Energy Tbk.,2000-02-29,3.150.000.000,Pengembangan
595,SMRA,Summarecon Agung Tbk.,1990-05-07,14.426.781.680,Utama
596,SMRU,SMR Utama Tbk.,2011-10-10,12.499.385.782,Pengembangan
597,SMSM,Selamat Sempurna Tbk.,1996-09-09,5.758.675.440,Utama
598,SOCI,Soechi Lines Tbk.,2014-12-03,7.059.000.000,Utama
599,SOFA,Boston Furniture Industries Tb,2020-07-07,1.650.000.000,Akselerasi
600,SONA,Sona Topas Tourism Industry Tb,1992-07-21,331.200.000,Utama
601,SOSS,Shield On Service Tbk.,2018-11-06,656.247.005,Pengembangan
602,SOTS,Satria Mega Kencana Tbk.,2018-12-10,1.000.000.005,Pengembangan
603,SPMA,Suparma Tbk.,1994-11-16,2.114.570.958,Utama
604,SPTO,Surya Pertiwi Tbk.,2018-05-14,2.700.000.000,Pengembangan
605,SQMI,Wilton Makmur Indonesia Tbk.,2004-07-15,15.537.591.429,Pengembangan
606,SRAJ,Sejahteraraya Anugrahjaya Tbk.,2011-04-11,12.000.705.445,Utama
607,SRIL,Sri Rejeki Isman Tbk.,2013-06-17,20.452.176.844,Utama
608,SRSN,Indo Acidatama Tbk,1993-01-11,6.020.000.000,Utama
609,SRTG,Saratoga Investama Sedaya Tbk.,2013-06-26,2.712.967.000,Pengembangan
610,SSIA,Surya Semesta Internusa Tbk.,1997-03-27,4.705.249.440,Utama
611,SSMS,Sawit Sumbermas Sarana Tbk.,2013-12-12,9.525.000.000,Utama
612,SSTM,Sunson Textile Manufacture Tbk,1997-08-20,1.170.909.181,Pengembangan
613,STAR,Buana Artha Anugerah Tbk.,2011-07-13,4.800.000.602,Utama
614,STTP,Siantar Top Tbk.,1996-12-16,1.310.000.000,Pengembangan
615,SUGI,Sugih Energy Tbk.,2002-06-19,24.811.541.414,Pengembangan
616,SULI,SLJ Global Tbk.,1994-03-21,3.986.916.802,Utama
617,SUPR,Solusi Tunas Pratama Tbk.,2011-10-11,1.137.579.698,Pengembangan
618,SURE,Super Energy Tbk.,2018-10-05,1.497.576.771,Pengembangan
619,SWAT,Sriwahana Adityakarta Tbk.,2018-06-08,3.019.200.000,Pengembangan
620,TALF,Tunas Alfin Tbk.,2001-02-12,1.353.435.000,Pengembangan
621,TAMA,Lancartama Sejati Tbk.,2020-02-10,1.000.000.000,Pengembangan
622,TAMU,Pelayaran Tamarin Samudra Tbk.,2017-05-10,37.500.000.000,Pengembangan
623,TARA,Sitara Propertindo Tbk.,2014-07-11,10.069.645.750,Utama
624,TAXI,Express Transindo Utama Tbk.,2012-11-02,6.145.600.000,Utama
625,TBIG,Tower Bersama Infrastructure T,2010-10-26,22.656.999.445,Utama
626,TBLA,Tunas Baru Lampung Tbk.,2000-02-14,5.342.098.939,Utama
627,TBMS,Tembaga Mulia Semanan Tbk.,1990-05-23,367.340.000,Pengembangan
628,TCID,Mandom Indonesia Tbk.,1993-09-30,201.066.667,Utama
629,TCPI,Transcoal Pacific Tbk.,2018-07-06,5.000.000.000,Pengembangan
630,TDPM,Tridomain Performance Material,2018-04-09,10.485.050.500,Utama
631,TEBE,Dana Brata Luhur Tbk.,2019-11-18,1.285.000.000,Pengembangan
632,TECH,Indosterling Technomedia Tbk.,2020-06-04,1.256.300.000,Pengembangan
633,TELE,Tiphone Mobile Indonesia Tbk.,2012-01-12,7.302.194.889,Utama
634,TFAS,Telefast Indonesia Tbk.,2019-09-17,1.666.666.500,Pengembangan
635,TFCO,Tifico Fiber Indonesia Tbk.,1980-02-26,4.823.076.400,Pengembangan
636,TGKA,Tigaraksa Satria Tbk.,1990-06-11,918.492.750,Pengembangan
637,TGRA,Terregra Asia Energy Tbk.,2017-05-16,2.750.000.000,Utama
638,TIFA,Tifa Finance Tbk.,2011-07-08,1.079.700.000,Pengembangan
639,TINS,Timah Tbk.,1995-10-19,7.447.753.454,Utama
640,TIRA,Tira Austenite Tbk,1993-07-27,588.000.000,Pengembangan
641,TIRT,Tirta Mahakam Resources Tbk,1999-12-13,1.011.774.750,Utama
642,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,1990-04-03,3.113.223.570,Utama
643,TLKM,Telekomunikasi Indonesia (Pers,1995-11-14,99.062.216.600,Utama
644,TMAS,Temas Tbk.,2003-07-09,5.705.150.000,Utama
645,TMPO,Tempo Intimedia Tbk.,2001-01-08,1.058.333.250,Pengembangan
646,TNCA,Trimuda Nuansa Citra Tbk.,2018-06-28,421.640.000,Pengembangan
647,TOBA,Toba Bara Sejahtra Tbk.,2012-07-06,8.049.964.000,Utama
648,TOPS,Totalindo Eka Persada Tbk.,2017-06-16,33.330.000.000,Utama
649,TOTL,Total Bangun Persada Tbk.,2006-07-25,3.410.000.000,Utama
650,TOTO,Surya Toto Indonesia Tbk.,1990-10-30,10.320.000.000,Pengembangan
